name,title,medium,year,size,sale,sold,estimate
Stanley Whitney,Untitled,oil on canvas,2002,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00033]
Post-War to Present","62,500 USD Premium","25,000 - 35,000 USD ?"
Jean Dubuffet,Site avec 3 personnages,acrylic on paper mounted on canvas,1981,Height 19.6 in.; Width 26.4 in. / Height 49.8 cm.; Width 67 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00035]
Post-War to Present","175,000 USD Premium","120,000 - 180,000 USD ?"
Tom Wesselmann,Smoker Study,oil on canvas,1977,Height 7.7 in.; Width 9.8 in. / Height 19.5 cm.; Width 25 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00042]
Post-War to Present",Bought In,"100,000 - 150,000 USD ?"
Andy Warhol,Portrait of Patty Raynes and Son,acrylic and silkscreen ink on canvas,1985,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00044]
Post-War to Present","312,500 USD Premium","250,000 - 350,000 USD ?"
Sam Francis,Untitled,acrylic on canvas,1987,Height 48.1 in.; Width 36 in. / Height 122.2 cm.; Width 91.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00057]
Post-War to Present","193,750 USD Premium","120,000 - 180,000 USD ?"
Cindy Sherman,Untitled Film Still #62,gelatin silver print,1977,Later Imp 2003,4/10,,
Richard Prince,Untitled (Publicity),"two publicity photographs, ink and printed paper, in artist's frame",1999-2000,Height 33 in.; Width 41.1 in. / Height 83.8 cm.; Width 104.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00066]
Post-War to Present","50,000 USD Premium","40,000 - 60,000 USD ?"
Katherine Bernhardt,Sneakers + Capri Sun,acrylic and spray paint on canvas,2014,Height 60 in.; Width 72 in. / Height 152.4 cm.; Width 182.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00081]
Post-War to Present","40,000 USD Premium","20,000 - 30,000 USD ?"
Sherrie Levine,White Moonlight After Man Ray,oil on plywood,2016,Height 21.1 in.; Width 17.1 in. / Height 53.7 cm.; Width 43.5 cm.,"50,000 - 70,000 USD ?",,Bought In
Christo and Jeanne-Claude,"Surrounded Islands (Project for Biscayne Bay, Greater Miami, Florida)","box construction—graphite, fabric, pastel, charcoal, enamel paint, photograph by Wolfgang Volz, fabric sample and wax crayon on paperboard",1983,Height 28.3 in.; Width 22.2 in. / Height 71.8 cm.; Width 56.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00099]
Post-War to Present","112,500 USD Premium","40,000 - 60,000 USD ?"
Richard Estes,Broadway Pastry Shop,oil on board,2006,Height 16 in.; Width 19.9 in. / Height 40.6 cm.; Width 50.5 cm.,"60,000 - 80,000 USD ?",,"93,750 USD Premium ?"
James Rosenquist,"The Serenade for the Doll after Claude Debussy, Gift Wrapped Doll #18",oil on canvas mounted on panel,1993,Height 60 in.; Width 60 in. / Height 152.5 cm.; Width 152.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00102]
Post-War to Present","156,250 USD Premium","120,000 - 180,000 USD ?"
Dexter Dalwood,Patty Hearst's Apartment,oil on canvas,1999,Height 78 in.; Width 132 in. / Height 198.1 cm.; Width 335.3 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00103]
Post-War to Present","37,500 USD Premium","30,000 - 50,000 USD ?"
Andy Warhol,Self-Portrait (The Shadow),polaroid,1981,Height 3.4 in.; Width 4.3 in. / Height 8.6 cm.; Width 10.8 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00124]
Post-War to Present","37,500 USD Premium","18,000 - 25,000 USD ?"
Marina Abramović,"Portrait with Firewood, 2009",Inkjet pigment print,2009,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,Signed,"30,000 - 50,000 USD",
Victor Vasarely,Okta Zûr,acrylic on panel,1977,Height 27.5 in.; Width 27.5 in. / Height 69.9 cm.; Width 69.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00135]
Post-War to Present","52,500 USD Premium","40,000 - 60,000 USD ?"
Elaine de Kooning,Baseball,oil on canvas,Circa 1955-1956,Height 15.9 in.; Width 18.1 in. / Height 40.5 cm.; Width 45.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00006]
Post-War to Present","32,500 USD Premium","15,000 - 20,000 USD ?"
Elaine de Kooning,Red Bison/Blue Horse,oil and charcoal on canvas,1985-1986,Height 77.8 in.; Width 108.3 in. / Height 197.5 cm.; Width 275 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00007]
Post-War to Present","562,500 USD Premium","250,000 - 350,000 USD ?"
Kenneth Noland,Flutter,acrylic on canvas,1960,Height 67.4 in.; Width 66.9 in. / Height 171.1 cm.; Width 170 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00012]
Post-War to Present","1,170,000 USD Premium","1,200,000 - 1,800,000 USD ?"
Kenny Scharf,Elroy Bug for Hal,acrylic on canvas,2009,Height 4 in.; Width 5.9 in. / Height 10.2 cm.; Width 14.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00015]
Post-War to Present","17,500 USD Premium","8,000 - 12,000 USD ?"
Kenny Scharf,Judy Butterfly for Hal,acrylic on canvas,2009,Height 4 in.; Width 6 in. / Height 10.2 cm.; Width 15.2 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00016]
Post-War to Present","17,500 USD Premium","8,000 - 12,000 USD ?"
George Condo,Girl with Green Hair,oil on canvas,2009,Height 40 in.; Width 36 in. / Height 101.6 cm.; Width 91.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00026]
Post-War to Present","437,500 USD Premium","350,000 - 550,000 USD ?"
Stanley Whitney,Untitled,oil on canvas,2001,Height 12 in.; Width 12 in. / Height 30.5 cm.; Width 30.5 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00032]
Post-War to Present","62,500 USD Premium","25,000 - 35,000 USD ?"
Jean Dubuffet,Mondanité XXIII,vinyl on paper laid down on canvas,1975,Height 25.4 in.; Width 36.1 in. / Height 64.5 cm.; Width 91.8 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00038]
Post-War to Present","450,000 USD Premium","400,000 - 600,000 USD ?"
Charles S. Bell,Double Advance,oil on canvas,1977,Height 48 in.; Width 60.1 in. / Height 121.9 cm.; Width 152.7 cm.,"200,000 - 300,000 USD ?",,"187,500 USD Premium ?"
Andy Warhol,Renate Zimet,acrylic and silkscreen ink on linen,1975,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00043]
Post-War to Present","225,000 USD Premium","100,000 - 150,000 USD ?"
John Wesley,Seasons of War and Laughter,"acrylic on canvas, in four parts",1969,Height 12 in.; Width 9 in. / Height 30.5 cm.; Width 22.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00045]
Post-War to Present","81,250 USD Premium","50,000 - 70,000 USD ?"
Tom Wesselmann,Maquette for Monica and Matisse Interior with Phonograph (Variation),Liquitex on shaped Bristol board,1994,Height 19.5 in.; Width 13 in. / Height 49.5 cm.; Width 33 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00048]
Post-War to Present","81,250 USD Premium","50,000 - 70,000 USD ?"
Andy Warhol,Flowers,acrylic and silkscreen ink on canvas,1964,Height 14 in.; Width 14 in. / Height 35.6 cm.; Width 35.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00049]
Post-War to Present","300,000 USD Premium","200,000 - 300,000 USD ?"
Larry Poons,Jean Tomlin,acrylic and mixed media on canvas,1987,Height 57.1 in.; Width 27 in. / Height 145.1 cm.; Width 68.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00054]
Post-War to Present","125,000 USD Premium","25,000 - 35,000 USD ?"
Friedel Dzubas,Tutoh,Magna acrylic on canvas,1982,Height 50 in.; Width 114 in. / Height 127 cm.; Width 289.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00055]
Post-War to Present","150,000 USD Premium","50,000 - 70,000 USD ?"
Theodoros Stamos,Echo II,acrylic on canvas,1961,Height 51.9 in.; Width 56 in. / Height 131.8 cm.; Width 142.2 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00056]
Post-War to Present","187,500 USD Premium","80,000 - 120,000 USD ?"
Kelley Walker,"Black Star Press; Star Press, Black Press, Star Press Star","triptych—silkscreened white, milk and dark chocolate over digital print on canvas",2004,Height 36 in.; Width 84 in. / Height 91.4 cm.; Width 213.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00064]
Post-War to Present","81,250 USD Premium","80,000 - 120,000 USD ?"
Rineke Dijkstra,"Kolobrzeg, Poland, 27 July 1992 (B)","chromogenic print, flush-mounted on aluminum",1992,Later Imp 2005,4/10,,
Llyn Foulkes,Portrait of Vermeer,"oil, paper collage and metal in artist's frame",1976,Height 7 in.; Width 7 in. / Height 17.8 cm.; Width 17.8 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00074]
Post-War to Present","7,500 USD Premium","4,000 - 6,000 USD ?"
Matthew Wong,Untitled,book with hand-painted cover,2018,Height 10.4 in.; Width 8.4 in.; Depth 0.7 in. / Height 26.4 cm.; Width 21.3 cm.; Depth 1.9 cm.,Signed,"18,000 - 25,000 USD",
Ralph Goings,On the Ledge,oil on canvas,2010,Height 6.9 in.; Width 4.9 in. / Height 17.5 cm.; Width 12.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00101]
Post-War to Present","10,000 USD Premium","12,000 - 18,000 USD ?"
Julian Schnabel,Untitled,"oil and resin on canvas, in artist's frame",2001,Height 108 in.; Width 102 in. / Height 274.3 cm.; Width 259.1 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00104]
Post-War to Present","125,000 USD Premium","60,000 - 80,000 USD ?"
David Salle,The Power that Distributes and Divides,acrylic on two joined canvases,1981,Height 86 in.; Width 100 in. / Height 218.4 cm.; Width 254 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00105]
Post-War to Present","100,000 USD Premium","80,000 - 120,000 USD ?"
Roy Lichtenstein,High Gear,oil on canvas,1954,Height 18 in.; Width 24 in. / Height 45.7 cm.; Width 61 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00117]
Post-War to Present","68,750 USD Premium","40,000 - 60,000 USD ?"
Andy Warhol,Self-Portrait (The Shadow),polaroid,1981,Height 3.4 in.; Width 4.3 in. / Height 8.6 cm.; Width 10.8 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00125]
Post-War to Present","30,000 USD Premium","18,000 - 25,000 USD ?"
Pat Steir,Untitled,diptych—oil on canvas,1983,Height 62.5 in.; Width 49.3 in. / Height 158.8 cm.; Width 125.1 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00130]
Post-War to Present","12,500 USD Premium","7,000 - 10,000 USD ?"
Victor Vasarely,Okta-Folklore-E,oil on canvas,1973,Height 24.4 in.; Width 24.4 in. / Height 61.9 cm.; Width 61.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00136]
Post-War to Present","37,500 USD Premium","30,000 - 50,000 USD ?"
Frank Stella,Piaski (Sketch),"acrylic, felt, canvas and paper collage on paperboard mounted on panel",1973,Height 29.8 in.; Width 29.8 in. / Height 75.6 cm.; Width 75.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 0030A]
Post-War to Present","106,250 USD Premium","40,000 - 60,000 USD ?"
Emily Mae Smith,Profane Interloper,oil on linen,2021,Height 48 in.; Width 37 in. / Height 121.9 cm.; Width 94 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00001]
Post-War to Present","350,000 USD Premium","50,000 - 70,000 USD ?"
Tomoo Gokita,Freeze,acrylic gouache on linen,2009,Height 28.6 in.; Width 23.7 in. / Height 72.7 cm.; Width 60.3 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00020]
Post-War to Present","187,500 USD Premium","60,000 - 80,000 USD ?"
Henry Taylor,Untitled,oil on canvas,2000,Height 30 in.; Width 27 in. / Height 76.2 cm.; Width 68.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00023]
Post-War to Present","75,000 USD Premium","25,000 - 35,000 USD ?"
Kour Pour,Piracy,acrylic on canvas mounted on panel,2013,Height 96 in.; Width 72 in. / Height 243.8 cm.; Width 182.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00060]
Post-War to Present","60,000 USD Premium","50,000 - 70,000 USD ?"
Nate Lowman,Green Escalade,silkscreen ink on canvas mounted on panel,2005,Height 63.7 in.; Width 59.5 in. / Height 161.9 cm.; Width 151.1 cm.,"250,000 - 350,000 USD ?",,"200,000 USD Premium ?"
Jake and Dinos Chapman,One Day You Will No Longer Be Loved XVI,oil on canvas,2008,Height 24 in.; Width 18 in. / Height 61 cm.; Width 45.7 cm.,"20,000 - 30,000 USD ?",,Bought In
Michael Kagan,Give Me All You Got,oil on linen,2020,Height 24 in.; Width 24 in. / Height 61 cm.; Width 61 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00086]
Post-War to Present","35,000 USD Premium","20,000 - 30,000 USD ?"
Angel Otero,"Bacchus, Dionysus (after Poussin)",oil and oil paint skins collage on canvas,2012,Height 75 in.; Width 98 in. / Height 190.5 cm.; Width 248.9 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00088]
Post-War to Present","156,250 USD Premium","25,000 - 35,000 USD ?"
Derrick Adams,Figure in the Urban Landscape 31,"acrylic, graphite, ink, fabric on paper, grip tape and model cars on wood panel",2019,Height 60 in.; Width 60 in. / Height 152.4 cm.; Width 152.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00002]
Post-War to Present","250,000 USD Premium","100,000 - 150,000 USD ?"
Salman Toor,The Singers,oil on canvas,2019,Height 35 in.; Width 33 in. / Height 88.9 cm.; Width 83.8 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00003]
Post-War to Present","612,500 USD Premium","100,000 - 150,000 USD ?"
Titus Kaphar,Sacrifice,oil on canvas,2011,Height 70 in.; Width 106 in. / Height 177.8 cm.; Width 269.2 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00004]
Post-War to Present","450,000 USD Premium","300,000 - 500,000 USD ?"
Jammie Holmes,This Week's Last Supper,acrylic and oil pastel on canvas,2020,Height 48 in.; Width 60 in. / Height 121.9 cm.; Width 152.4 cm.,"40,000 - 60,000 USD ?",,"137,500 USD Premium ?"
Wade Guyton,Untitled,Epson UltraChrome inkjet on linen,2010,Height 34 in.; Width 24 in. / Height 86.4 cm.; Width 61 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00062]
Post-War to Present",Bought In,"60,000 - 80,000 USD ?"
Roberto Matta,Manzalba,oil on canvas,1970,Height 65.6 in.; Width 80.4 in. / Height 166.7 cm.; Width 204.2 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00095]
Post-War to Present","106,250 USD Premium","120,000 - 180,000 USD ?"
Roberto Matta,Untitled,oil on canvas,1963,Height 40.2 in.; Width 60 in. / Height 102 cm.; Width 152.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00096]
Post-War to Present","118,750 USD Premium","100,000 - 150,000 USD ?"
Richard Aldrich,Untitled 3 of 3,oil and wax on panel,2011,Height 14.8 in.; Width 10.9 in. / Height 37.5 cm.; Width 27.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00140]
Post-War to Present","7,500 USD Premium","3,000 - 5,000 USD ?"
Henry Taylor,Untitled,oil on canvas,Circa 2000,Height 40.7 in.; Width 26.1 in. / Height 103.5 cm.; Width 66.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00021]
Post-War to Present","156,250 USD Premium","35,000 - 45,000 USD ?"
Henry Taylor,Untitled,oil on found wood,Circa 2000,Height 48 in.; Width 96 in. / Height 121.9 cm.; Width 243.8 cm.,"100,000 - 150,000 USD ?",,"231,250 USD Premium ?"
Stik,Raindrops,acrylic on masonite,2009,Height 48 in.; Width 24 in. / Height 121.9 cm.; Width 61 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00082]
Post-War to Present","118,750 USD Premium","50,000 - 70,000 USD ?"
Jamian Juliano-Villani,Gambler's Choice,acrylic on canvas,2013,Height 24 in.; Width 24 in. / Height 61 cm.; Width 61 cm.,"25,000 - 35,000 USD ?",,Bought In
Jeff Elrod,(Blue) Echo Painting,UV ink on canvas,2013,Height 118.5 in.; Width 84 in. / Height 301 cm.; Width 213.4 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00087]
Post-War to Present","62,500 USD Premium","60,000 - 80,000 USD ?"
Landon Metz,Untitled,dye on canvas,2016,Height 80 in.; Width 64 in. / Height 203.2 cm.; Width 162.6 cm.,"Christie's New York: Tuesday, March 9, 2021 [Lot 00089]
Post-War to Present","21,250 USD Premium","10,000 - 15,000 USD ?"
Baudouin Yvart,An elaborate silver brazier on a ledge,oil on canvas,Height 19.3 in.; Width 15.4 in. / Height 49 cm.; Width 39 cm.,"Christie's New York: Tuesday, January 26, 2021 [Lot 00134]
The Collection of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue","17,500 USD Premium ?",,
Jan Massys,Mary Magdalene,oil on panel,1571,Height 37.4 in.; Width 28.1 in. / Height 95 cm.; Width 71.3 cm.,"Christie's New York: Tuesday, January 26, 2021 [Lot 00107]
The Collection of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue","537,500 USD Premium","120,000 - 180,000 USD ?"
Italian School-Venetian (18),Le forze d'Ercole,oil on canvas,Height 68.5 in.; Width 40.7 in. / Height 174 cm.; Width 103.5 cm.,Inscribed,"10,000 - 15,000 USD ?",,"27,500 USD Premium ?"
French School (18),A Trompe L'oeil Of Two Putti In A Medallion Emblematic Of Fire And Water,oil on canvas,Height 35.1 in.; Width 44.8 in. / Height 89.2 cm.; Width 113.7 cm.,"Christie's New York: Tuesday, January 26, 2021 [Lot 00064]
The Collection of Mr. & Mrs. John H. Gutfreund 834 Fifth Avenue","6,875 USD Premium ?",,
German School (17),"A vanitas still-life with flags, a box of jewelry and guilt cups, books, silver, a vase and basket of flowers and a skeleton before a corridor",oil on canvas,Height 60.6 in.; Width 47.1 in. / Height 153.8 cm.; Width 119.7 cm.,Inscribed,"25,000 - 35,000 USD ?",,"22,500 USD Premium ?"
Ken Grimes,Saucer with Waves,acrylic on canvas,Height 24 in.; Width 36 in. / Height 61 cm.; Width 91.4 cm.,Signed,"1,500 - 3,000 USD ?",,"3,750 USD Premium ?"
Thornton Dial,Representative,mixed media on canvas mounted on board,1994,Height 65 in.; Width 58 in.; Depth 17.5 in. / Height 165.1 cm.; Width 147.3 cm.; Depth 44.4 cm.,"20,000 - 40,000 USD ?",,"37,500 USD Premium ?"
Clementine Hunter,Baptizing on Cane River,oil on canvas board,1974,Height 18 in.; Width 24 in. / Height 45.7 cm.; Width 61 cm.,"Christie's New York: Thursday, January 21, 2021 [Lot 00018]
Outsider and Vernacular Art","25,000 USD Premium","4,000 - 6,000 USD ?"
Thornton Dial,Creation of Life in the Blackberry Patch,"carpet, enamel, spray paint and Splash Zone compound on canvas on wood",2003,Height 73.5 in.; Width 73 in. / Height 186.7 cm.; Width 185.4 cm.,"Christie's New York: Thursday, January 21, 2021 [Lot 00043]
Outsider and Vernacular Art","150,000 USD Premium","40,000 - 80,000 USD ?"
Thornton Dial,Oh What a Big Fish,mixed media on canvas,1993,Height 66 in.; Width 78 in. / Height 167.6 cm.; Width 198.1 cm.,"Christie's New York: Thursday, January 21, 2021 [Lot 00047]
Outsider and Vernacular Art","35,000 USD Premium","25,000 - 50,000 USD ?"
Elijah Pierce,Jonah and the Fish,"paint and metallic paint on carved wood backed with cardboard, in artist-made frame",1980,Height 11.3 in.; Width 29 in. / Height 28.6 cm.; Width 73.7 cm.,"Christie's New York: Thursday, January 21, 2021 [Lot 00050]
Outsider and Vernacular Art","60,000 USD Premium","10,000 - 15,000 USD ?"
Howard Finster,"The Endless Circle, Mr. Coke, #14,146",enamel and ink on wood cutout,1990,Height 34 in.; Width 10.5 in. / Height 86.4 cm.; Width 26.7 cm.,"Christie's New York: Thursday, January 21, 2021 [Lot 00063]
Outsider and Vernacular Art","4,750 USD Premium","1,000 - 2,000 USD ?"
Joshua Johnson,Thomas Donovan (1766-after 1856),oil on canvas,1799-1800,Height 30.3 in.; Width 24.8 in. / Height 77 cm.; Width 62.9 cm.,"Christie's New York: Thursday, January 21, 2021 [Lot 00122]
In Praise of America: Important American Furniture, Folk Art, Silver, Prints and Broadsides","62,500 USD Premium","50,000 - 80,000 USD ?"
